Names,Prices
Kellogg's Beef Flavored Noodles – 100 gm,EGP 3.95
Ariel Liquid clean and fresh detergent 1.8 Kilogram,EGP 77.00
Nescafe 3In1 Rich Coffee - 21g - 12 Pcs,EGP 31.00
Aldoha Big Rings Pasta - 400g,EGP 14.00
Aldoha Small Rings Pasta - 400g,EGP 13.00
Regina Farfalle - 400g,EGP 12.90
"Finish Finish Original Rinse Aid For Shinier And Drier Dishes, 400ml",EGP 148.00
Star Pasta Big Rings - 1kg,EGP 15.90
Sherraton Pure Ghee - 800g,EGP 164.50
"Vanish Vanish Laundry Stain Remover Liquid for White Colored Clothes, 450ml",EGP 38.00
Regina Pasta Penne - 1kg,EGP 26.90
Bonjorno Coffee Mix 2 in1- 12 Pcs,EGP 27.00
Cadbury 3in1 Hot Chocolate Jar - 300gm,EGP 48.20
Amira Yellow Vegetable Ghee - 750g,EGP 37.00
Star Pasta Shells - 1kg,EGP 17.95
Lipton Extra Strong Black Tea - 25 Tea Bags,EGP 13.80
Lipton Peppermint - 20 Tea Bags,EGP 13.00
Star Pasta Vermicelli - 1kg,EGP 19.10
Steviadiet 70sachet  Each 1gm Diet Sugar,EGP 50.00
Heinz Chili Sauce – 300gm,EGP 35.00
Aldoha Fusilli Pasta - 400g,EGP 13.00
Nescafe Classic Instant Coffee - 1.8g - 25 Pcs,EGP 34.50
Organo Natural Sugar Cane Vinegar 5% - 900 Ml,EGP 7.50
Aldoha Penne Pasta - 400g,EGP 11.95
Lipton Yellow Label Black Tea - 50 Tea Bags,EGP 22.00
Kellogg's Sausage Flavored Noodles – 70 gm,EGP 2.95
shana Honey Nawara Clover - 950 GM,EGP 83.00
Bonjorno 2in1 Coffee Mix Khamsina – 12 Sachet,EGP 17.00
Dettol Antiseptic Liquid - 120ML,EGP 23.00
Maggi Chicken Cream Soup – 71gm,EGP 17.75
Lipton Pure Non-Bitter Green Tea - 25 Bags,EGP 14.50
Lipton Lemon Ginger - 20 Bags,EGP 15.50
"Harpic Harpic Original Toilet Cleaner, 100% Limescale Remover, 450ml",EGP 34.00
Steviadiet Diet Sugar Jar - 300 Gm,EGP 80.00
Aldoha Cumin Powder - 20g,EGP 5.00
Lipton Yellow Label Rich Black Tea - 100 TeaBags - 200gm + Free Mug & Spoon,EGP 45.00
Al Tawoos White Natural Vinegar - 1 L - 4 Bottles,EGP 32.00
Regina Pasta Linguini - 400g,EGP 12.90
Fairy Ultra Lemon 420 2 LE,EGP 26.00
Nescafe Classic Instant Coffee Jar - 200gm,EGP 122.00
Sherraton Pure Ghee - 400g,EGP 91.19
Lipton Mint Green Tea Bags - 100 Tea Bags,EGP 50.95
Aldoha Nigella (Black Seeds) - 20g,EGP 5.00
Kellogg's Beef Flavored Noodles – 70 gm,EGP 2.95
Sunny Cooking and Frying Oil - 2.4L,EGP 98.90
Vitrac Rose Syrup 650 ML,EGP 29.00
Star Pasta Penne - 400g,EGP 8.30
Zeina Jumbo Kitchen Roll - XL,EGP 47.00
Star Pasta Small Rings - 1kg,EGP 16.50
"Vanish Vanish Crystal White Laundry Stain Remover Liquid for White Clothes, 450ml",EGP 36.48
Abu Auf Box Of Maamoul With Chocolate - 12 Pc,EGP 86.30
Elmatbakh Rings Pasta – 1Kg,EGP 17.00
Afia Corn Oil - 1.6L,EGP 91.95
Nescafe Cappuccino Gold Vanilla -12 Pcs x 18.5 gm,EGP 55.00
Star Pasta Rice - 400g,EGP 8.30
Nescafe Gold Mocha Sachet – 1 Sachet,EGP 4.50
Fern Pure Natural Butter Ghee -  1.8Kg,EGP 357.25
White Pocket Smiley Face Tissue - 10 Packs – 10 Tissues,EGP 12.52
Bonjorno Cappuccino Hazelnut - 12 Pcs x 14 gm,EGP 33.00
Star Pasta Snails - 400gm,EGP 8.30
Afia Sunflower Oil – 800ml,EGP 40.95
Sanita Gipsy Facial Tissue - 550 Tissues - 1 Piece,EGP 21.10
Lipton Classic Green Tea Bags – 100 Tea Bags,EGP 46.00
Sherraton Pure Ghee - 1500g,EGP 315.50
Masreya Pasta Spaghetti - 350g,EGP 7.90
Cif Fast Bathroom Cleaning Spray - 500 ml,EGP 45.00
Maggi Mushroom Cream Soup – 68gm,EGP 17.75
Masreya Pasta Fusilli - 350g,EGP 9.50
Fern Pure Natural Butter Ghee -  700g,EGP 148.00
Regina Pasta Spaghetti - 400g,EGP 12.90
Avanti Milk Powder Full Cream  Bag 800 Gm,EGP 108.00
Nescafe Cappuccino Gold Toffee Nut - 12 Pcs x 18.5,EGP 50.00
Roots Apple Cider - 30 Envelopes,EGP 25.00
Nesquik Cocoa Powder - 880gm,EGP 79.00
Masreya Pasta Linguini - 1kg,EGP 19.00
Finish Dishwasher Detergent Powder Lemon Scent - 1kg - 2 Pcs + 1 Free,EGP 280.00
Aldoha Bulgur (Burghol-Grit) - 500g,EGP 19.00
Abu Auf Box Of Maamoul With White Chocolate - 12 Pc,EGP 86.30
Star Pasta Spaghetti - 400g,EGP 8.30
Roots Coffee With Creamer & Sugar - 12 Sticks,EGP 24.00
Elmatbakh Rings Pasta - 400g,EGP 7.45
Fairy Original All in One Plus Dishwasher Capsules– 20 counts,EGP 104.00
Star Pasta Mini Elbow - 1kg,EGP 15.90
Aldoha Peeled Wheat - 500g,EGP 24.75
Aldoha Mixed Spices (Bohar) - 20g,EGP 7.00
Regina Pasta Shells - 400g,EGP 12.90
Maggi Cheese Bechamel Mix - 6 Pcs,EGP 36.25
Ganna Ghee - 1.5kg,EGP 72.25
Masreya Pasta Vermicelli - 1kg,EGP 19.00
Regina Pasta Penne - 400g,EGP 12.90
Lipton Herbal Infusion Anise Tea Bags - 20 Tea Bags,EGP 12.90
Ganna Ghee - 700gm,EGP 36.00
Nescafe Gold Rich Aroma & Smooth Taste Instant Coffee – 200gm,EGP 204.00
Dettol Antiseptic Disinfectant Liquid 475ML 2 + 1 free,EGP 203.00
Lipton Mint Green Tea - 25 Bags,EGP 14.00
Nestle Coffee Mate Plastic Jar – 400gm,EGP 52.90
Sunshine Diet Tuna Chunks – 185 gm,EGP 25.75
Roots Green Coffee - 30 Envelopes,EGP 25.00
Chefy Mix Mayonnaise - 280g,EGP 19.00
Al Tawoos Tehini - 260gm,EGP 23.00
Gp NiMH Rechargeable AA Batteries - 2700mAh - 2 Pcs,EGP 43.98
Star Pasta Vermicelli - 400g,EGP 8.30
Vitrac Grenadine Syrup 650 ML,EGP 37.40
Sherraton Pure Ghee - 2kg,EGP 401.45
Fripps Apple Crackle - Freeze - Dried Fruit Crisps - 16g - Pack of 10 Pcs,EGP 244.25
Haloub Al Missalia Pure Ghee - 1.6g,EGP 332.75
Cadbury Dairy Milk Plain Chocolate Bar - 4+1 - 185gm,EGP 43.00
Aldoha Anise - 20g,EGP 4.75
Kit Kat Chunky Caramel Chocolate Bar - 42g – 1 PC,EGP 11.50
Sanita Gipsy Facial Tissue - 120 Tissues - 1 Piece,EGP 6.00
Downy Concentrate Fabric Softener - Feel Luxurious - 880ml,EGP 64.00
Roots Coffee with Creamer - 12 Sticks,EGP 24.00
Afia Corn Oil - 800ml,EGP 47.00
Slite Sunflower Oil - 750ml,EGP 35.00
"Harpic Harpic Peach & Jasmine Toilet Cleaner, 100% Limescale Remover, 450ml",EGP 29.00
Aldoha Chili Pepper Grinder - 20g,EGP 5.90
Masreya Pasta Penne - 350g,EGP 7.90
Avanti Milk Powder Full Cream  Bag 1.5 Kg,EGP 205.00
Chefy Mix Biryani Rice Mix - 50g,EGP 7.00
Heinz Tomato Ketchup – 513gm,EGP 35.00
"Harpic Harpic Power Plus Toilet Cleaner, 100% Limescale Remover, 700ml - Pack of 2 @25%",EGP 101.00
Lipton Kharaz Tea - 100gm,EGP 18.00
Masreya Pasta Twist - 350g,EGP 7.00
Aldoha Thyme (Oregano) Powder - 60g,EGP 18.00
Harvest Strained Fava Beans – 400g – 2 Pcs,EGP 21.75
Regina Pasta Small Rings - 400g,EGP 11.90
Chefy Mix Far Eastern Seasoning - 90g,EGP 14.50
Heinz Hot Ketchup – 200gm,EGP 15.00
Masreya Pasta Vermicelli - 350g,EGP 9.50
Masreya Pasta Macaroni - 350g,EGP 7.90
Bonjorno Cappuccino Mocha - 12 Pcs x14 gm,EGP 35.30
Aldoha Bay Leaves - 15g,EGP 23.50
Heinz Chili Garlic Sauce – 300gm,EGP 19.00
Mars Minis Chocolate - 227g,EGP 74.95
Haloub Al Missalia Pure Ghee - 400g,EGP 85.45
Aldoha Parboiled Golden Rice - 1K,EGP 36.00
Maggi Chicken Noodle Soup – 60gm,EGP 17.75
Rose Khoshala Solid White Tuna 4x 200 Gm,EGP 110.00
Abu Auf Box Of Maamoul Dates With Cinnamon - 12 Pc,EGP 47.40
White Baby Wipes - 72 Wipes,EGP 26.95
Shaheen Coffee Oriental Light Plain Blended Turkish Coffee- 200 Gm,EGP 49.25
Masreya Pasta Rice - 350g,EGP 7.00
Chefy Mix Hawawshi Mix- 40g,EGP 7.00
Avanti Extra Virgin Olive Oil 1000ml,EGP 135.00
Chefy Mix Kofta Marinade - 35g,EGP 7.00
Chefy Mix Cheese Flavor - 90g,EGP 14.50
Nescafe Arabiana Coffee – 20 PCS,EGP 95.00
Juhayna Juhayna Full Cream Milk – 1.5L,EGP 30.75
Sante Granola With Pomegranate & Cranberry - 350 gm,EGP 52.00
Rose Tuna Chunk With Chili - 4 Pcs - 185 Gm,EGP 92.00
Aldoha Black Pepper Grinder - 70g,EGP 32.00
Chefy Mix Mixed Grill Marinade - 35 Gm,EGP 7.00
Dettol Antiseptic Disinfectant All-Purpose Surface Cleaner – 475mlL,EGP 55.00
shana Honey With Nuts - 470 GM,EGP 77.00
Masreya Pasta Snails - 1kg,EGP 19.00
Nestle Pure Life Sparkling Water Bottles With Lemon Flavor – 0.36L – 12 PCs,EGP 89.45
Aldoha Cinnamon Powder - 20g,EGP 7.00
Knorr Cream Of Vegetabl Soup – 70 Gm,EGP 10.00
Cif Lemon Multi Purpose Cream Cleaner - 500 ml,EGP 49.00
Aldoha Coriander Grinder - 100g,EGP 9.75
Mexicana Indian Basmati Sella Rice - 1kg,EGP 34.00
Zeina Classic Soft Tissue Box – 200 Pcs – 4 Boxes,EGP 41.00
Regina Pasta Spaghetti - 1kg,EGP 26.90
Teeka Lollipop XXXL - Pack Of 48 Pcs,EGP 45.00
Aldoha Cumin Powder - 65g,EGP 16.00
Heinz BBQ Sauce - 300gm,EGP 35.00
Sanita Gipsy Facial Tissue - 550 Tissues - 3 Pieces,EGP 46.70
Maggi Vegetable Stock Cubes - 72gm – 1 PC,EGP 5.25
Avanti Extra Virgin Olive Oil 500ml,EGP 75.00
Star Pasta Small Rings - 400g,EGP 8.30
Chefy Mix Tikka Marinade - 120g,EGP 14.50
Lipton Pure Green Tea Non Bitter - 100 Tea Bags,EGP 50.00
Masreya Pasta Linguini - 350g,EGP 9.00
Roots Anise - 50 Envelopes,EGP 30.00
Daria Plain Fava Beans Can - 400gm,EGP 8.45
Al Tawoos Natural Vinegar - 900 Ml,EGP 8.00
Regina Lasagna – 500gm,EGP 39.00
Hero Strawberry Jam - 28.3g,EGP 7.80
Masreya Pasta Elbow - 350g,EGP 7.00
Almarai Skimmed Plastic Bottle Milk-1.5 L,EGP 32.00
Heinz Tomato Ketchup – 340gm,EGP 25.00
Fern Golden Mix Vegetable Ghee - 700g,EGP 45.00
Juhayna Juhayna Pineapple Pure Juice – 1 L,EGP 25.50
Cadbury Dairy Milk Hazelnut Chocolate Bar - 90gm -12 Packs,EGP 342.00
Calnort Meat Flavor Stock - 8*80g Cubes,EGP 8.00
Regina Pasta Elbow - 400g,EGP 12.90
Zeina Classic Summer Edition Soft Tissue Box – 300 Pcs,EGP 13.00
Chefy Mix Cheese Sauce - 40 GM,EGP 9.00
Chefy Mix Tikka Marinade - 35g,EGP 7.00
Chefy Mix Garlic Seasoning - 150g,EGP 14.50
shana Extra Virgin Coconut Oil - 160 GM,EGP 85.00
Masreya Pasta Fusilli - 1kg,EGP 19.00
"Finish Finish Dishwasher Detergent Tablets, Quantum 40 tablets @50% Off",EGP 495.00
Zeina Classic Soft Tissue Box – 200 Pcs,EGP 11.00
Magic Sponge - 1 Pcs,EGP 20.00
Regina Pasta Alphabet Number - 400g,EGP 12.90
Hero Red Cherry Jam - 28.3g,EGP 7.80
Masreya Pasta Big Rings - 1kg,EGP 18.00
Zeina Classic Summer Edition Soft Tissue Box – 300 Pcs – 3 Boxes,EGP 39.50
Khoshala Extra Virgin Olive Oil 500ml,EGP 75.00
Chefy Mix Liver Marinade - 50 Gm,EGP 7.00
