Names,Prices
Chiclets Spearmint Flavored Chewing Gum - 10 Pcs - 20 Packs,EGP 58.00
Galaxy Ramadan Jewels Assortment  Chocolate - 700 gm,EGP 279.00
Durra Hot Tomato Ketchup - 500g,EGP 25.54
YARU Dried Parsley Jar 0.25 G,EGP 21.00
Nescafe Gold Decaf Instant Coffee Jar - 100gm,EGP 127.00
Zeina 2 Ply Napkins - 30 Pcs,EGP 7.00
Masreya Pasta Spaghetti - 1kg,EGP 22.95
Regina Pasta Fusilli - 400g,EGP 15.50
White Extra Soft Facial Tissues - 255 Tissues – 3 Layers,EGP 14.30
Juhayna Juhayna Mango & Peach Pure Juice – 235ml,EGP 8.50
Maxell Magic Toilet Cleaner - 500ml,EGP 25.00
Wadi Food Extra Virgin Olive Oil - 2 Liter,EGP 438.42
Amira Yellow Vegetable Ghee - 2.5Kg,EGP 116.00
Sanita White Facial Tissue - 200 Tissues,EGP 9.99
Shaheen Coffee Oriental Medium Plain Blended Turkish Coffee - 200 Gm,EGP 49.25
Velveta Fabric Softener & Freshener Gel - Extra Mild Scent - 400g,EGP 23.75
Dettol 3X Antibacterial Power Floor Cleaner - Jasmine - 650ml,EGP 40.00
Calnort Vegetable Stock - 8*80g Cubes,EGP 9.00
Nestle Pure Life Natural Water Bottles – 0.24 L – 24 PCs,EGP 179.25
Double Face Rapid Water Absorption Pads - 3 Pieces.,EGP 65.00
Aldoha Black Pepper Powder - 100g,EGP 38.70
Chefy Mix Chicken Bouillon - 1Kg,EGP 52.00
The PACK Clear Plastic Cups - 100 Pcs,EGP 37.00
Hero Jam With Strawberry Flavor - 350 Gm,EGP 31.00
YARU Dried Dill Jar 25 G,EGP 19.00
Chefy Mix Chicken Flavor - 90g,EGP 14.50
Superfine Fiber Towel - Kitchen Towels - 5 Pcs,EGP 49.99
Al Tawoos Apple Natural Vinegar - 500ml,EGP 25.00
Masreya Pasta Small Rings - 350g,EGP 9.50
Mr. Food Indian Basmati Rice Jar - 1 Kg,EGP 47.00
Chefy Mix Mustard - 150g,EGP 15.00
Kit Kat Mini Moments Lotus Chocolates - 122.5g,EGP 68.75
Bisco Misr Deluxe Eid Assortment - 2 kg,EGP 260.00
Divatoll Concentrated Disinfectant Liquid Cleaner – Pine Scent – 125 ml,EGP 15.00
Hero Jam With Raspberry Flavor- Light - 320 Gm,EGP 45.00
Clorel Original Bleach + Colors Bleach - 1050 gm + 1 KG,EGP 29.45
Chefy Mix Mixed Grill Marinade - 80g,EGP 14.50
Regina Pasta Big Rings - 400g,EGP 14.30
White Host Eco Friendly Hand Towel - 150 Sheets – 2 Layers,EGP 16.95
Zeina Extra Kitchen Tissue - 2 Rolls,EGP 26.00
Aldoha Yellow Lentil - 500g,EGP 32.25
Chefy Mix Beef Bouillon - 150g,EGP 14.50
Chefy Mix Fajitas Marinade - 110 Gm,EGP 14.50
Micc Toffee Frutix - 225 Gm,EGP 26.20
Juhayna Juhayna Orange & Carrot Pure Juice – 1 L,EGP 25.50
Sante Granola Nuts With Peanut Butter - 500 gm,EGP 79.45
Feba Liquid Dish Cleaner With Lemon Scent - 730gm,EGP 21.45
Heinz Chili Mayonnaise Squeeze Pack – 225ml,EGP 27.00
Daria Pomegranate Molasses – 350 M,EGP 49.45
shana Black Honey 750 GM,EGP 29.00
Nescafe Cappuccino Gold Mocha -12 Pcs x 18.5 gm,EGP 55.50
Velveta Fabric Softener & Freshener Gel - Relaxation Scent - 350 ml,EGP 23.75
Slite Corn Oil - 1.5L,EGP 81.95
Roots Ginjo Ginger & Cinnamon With Milk - 12 Sachets,EGP 15.00
Clorel 4x1 Pine Scented Cleaning Bleach - 1kg,EGP 14.25
Bravo Potato Chips - Chicken - 12 PCs -60-70g,EGP 66.75
Negmet El Zeitoun Offer Star Grills - Negmet El Zeitoun,EGP 30.00
Dettol Multi Action Cleaner - Lemon – 1.8L – 2 PCs Discount,EGP 139.00
Aldoha Mixed Spices (Bohar) Grinder - 70g,EGP 25.00
Sunshine Lemon & Pepper Tuna Slices – 120 gm,EGP 33.75
Chefy Mix Spicy & Lemon Flavor - 90g,EGP 14.50
Nestle Mackintosh’s Quality Street Chocolates -850gm,EGP 274.00
Regina Pasta Rice - 1kg,EGP 25.90
Regina Pasta Twist - 400g,EGP 12.90
Shaheen Coffee Special Light Plain Turkish Coffee - 200G,EGP 76.25
Hero Clover Honey Squeeze - 500 Gm,EGP 78.96
"Home Freshener, Multi Purpose, Blue, 250ml, CN50, Black Ice",EGP 14.00
Aldoha Nigella (Black Seeds) - 65g,EGP 13.00
Maggi Shish Tawuuk Mix Cubes - 6 Pcs,EGP 39.25
"Gick Dish Washing Liquid, Lemon 675 Ml",EGP 15.00
Chefy Mix Kebab Flavor - 90g,EGP 14.50
Basak Noodle Green Lentil Soup - 80gm,EGP 8.00
Sanita Club White Facial Tissue - 550 Tissues - 3 Pieces,EGP 50.20
Ludwik Premium Washing Up With Apple - 600 G,EGP 22.00
Chefy Mix Onion Powder - 100g,EGP 14.50
Roots Cinnamon With Ginger - 20 Envelopes,EGP 14.00
Maggi ABC Chicken Soup – 66gm,EGP 17.75
Mero Flowers Honey Squeeze - 400 Gm,EGP 39.50
Chefy Mix Demi Glace Sauce - 40 GM,EGP 8.00
Vitrac Fig Light Jam 220 Gm,EGP 19.00
Hero Clover Honey - 650 Gm,EGP 89.00
Chefy Mix Mayonnaise Light 20% - 3.300 Kg,EGP 103.00
Frida Floor 3*1 Pine - 2 Litres,EGP 34.00
SPEED Concentrated Drain Cleaner – 1450gm,EGP 42.25
"Self-adhesive Kitchen Foil, Water And Heat Resistant, Easy To Clean - 5 Mx 60 Cm",EGP 74.00
Sanita Aluminum Foil Silver/Red - 20 Meters,EGP 87.25
Juhayna Juhayna Apple Pure Juice – 235ml,EGP 7.50
Cif Rose Cream Cleaner With Micro Crystals 500 - ml,EGP 49.00
Nesquik Chocolate Powder Powder Box - 330 gm,EGP 49.00
Rabea Rabea Extra Strong Tea Bags - 25 Bags,EGP 13.95
Aldoha Powdered Sugar - 1kg,EGP 20.00
Chefy Mix Beef Marinade 800 Gm,EGP 58.50
Regina Pasta Fusilli - 1kg,EGP 26.90
Clorel Liquid Color Care - Rose - 1kg,EGP 22.95
Sunshine Chili Tuna Slices – 120 gm,EGP 33.00
Galaxy Date and Almonds Assortment Chocolate – 299 gm,EGP 180.00
Aldoha Ginger Grinder - 70g,EGP 30.00
Nabtah Sidr Honey Saudi Mountain - 250 Gm,EGP 370.00
Rabea Rabea Extra Strong Loose Tea - 200 gm,EGP 37.50
Al Attar Cinnamon And Apple Herbal Drink -  20 Bags,EGP 28.00
Cadbury Dairy Milk Plain Chocolate Bar - 22gm -12 Packs,EGP 64.00
Velveta Fabric Softener & Freshner - Concentrated Ocean Mist Scent - 750ml,EGP 58.95
Wipex Heavy Duty Scrub Sponge – 1 PC,EGP 5.00
"Mr. Food Instant Oat "" Quick Cooking "" - 600g",EGP 29.95
Vitrac Light Orange Jam 220g,EGP 25.00
Sunshine Easy-Open Tuna Slices – 120 gm,EGP 33.00
Hero Clover Honey - 225g,EGP 41.60
Maggi Bechamel Mix Cubes- 6 Pcs,EGP 33.25
Nescafe 3 in1  Vanilla Pack - 24 Pcs x 18gm,EGP 64.00
Vitrac Hibiscus Syrup - 650ml,EGP 42.90
"Home Freshener, Multi Purpose, Blue, 1000ml, CN50, Black Ice",EGP 37.00
Vitrac Apricot Syrup - 650ml,EGP 39.05
The PACK Coffee Words Artwork Disposable Paper Cups With Cover - 237ml - 10 Pcs,EGP 22.00
Hero Jam With Red Cherry Flavor - 350 Gm,EGP 39.00
Clorel 2x1 Floral Scented Bleach - 1kg,EGP 13.25
Aldoha Onion Powder - 60 gm,EGP 31.00
Basak Yogurt Soup With Mint - 75gm,EGP 8.00
Wadi Food Black Olive Paste & Thyme Jar - 300gm,EGP 26.00
Mero Ketchup Premium - 340 Gm,EGP 17.00
Al Tawoos Blossom Water - 250 Ml,EGP 14.00
Hero Citrus Honey - 650 Gm,EGP 96.88
Organic Bliss Peanut Butter With Honey- Healthy & Organic-350g,EGP 47.99
Dettol Morning Dew Surface Spray - 450 ml,EGP 74.00
Aldoha Garlic Powder - 60gm,EGP 37.00
Juhayna Juhayna Skimmed Milk – 1.5L,EGP 30.75
Hero Citrus Honey Squeeze - 500 Gm,EGP 82.80
Vitrac Apricot Jam 430 Gm,EGP 21.00
Maggi Kofta Mix Cubes- 12 Pcs,EGP 67.25
White Car Cup Tissues - 150 Tissue,EGP 16.63
Hero Jam With Raspberry Flavor - 350 Gm,EGP 40.00
Aldoha Cinnamon sticks  - 125g,EGP 55.45
TUC Pizza Flavored Snack Crackers - 24g - 12 Packs,EGP 34.50
Hygiene Multi Purpose Cleaning Cloth - 3 Pieces,EGP 22.00
"Home Freshener, Multi Purpose, Blue, 1000ml, CN50, Musk",EGP 35.00
Fema Powdered Dish Detergent – Lemon Scent – 500gm,EGP 12.85
Nestle Coffee Mate Plastic Jar – 170gm,EGP 23.25
Cadbury Dairy Milk Chocolate - 90 gm,EGP 29.40
Nestle Optifast Dessert – Chocolate – 8 PCS X53g,EGP 365.60
Smart Air Charisma Air Freshener Spray - 460 Ml,EGP 32.00
"Harpic Harpic Peach & Jasmine Toilet Cleaner, 100% Limescale Remover, 700ml",EGP 44.00
Durra BBQ Sauce - 290g,EGP 18.47
Rabea Rabea Naturally Green Tea - 25 Bags,EGP 14.95
Chefy Mix Pizza Flavor - 90g,EGP 14.50
"Finish Finish Dishwasher Detergent Tablets, Quantum 21 tablets @40% Off",EGP 240.00
Sante Tropical Fruits Muesli - 350gm,EGP 48.00
Rose Tuna Chunk 1700 Gm,EGP 225.00
Colavita Extra Virgin Olive Oil 500ml,EGP 108.00
Gp Chargeable Batteries - 1100 MAH - AAA - 2 Pcs,EGP 41.00
Vitrac Carob Syrup - 650ml,EGP 37.45
Al Attar Green Tea With Moringa - 20 Bags,EGP 28.00
STEVIA Drops - 30ml -150 Portions,EGP 115.00
Durra Hot Tomato Ketchup - 750g,EGP 38.08
YARU Dried Celery Green Jar 25G,EGP 21.00
Roots Zero Tea  - 30 Envelopes,EGP 18.00
Sweet Fitness Stevia Diet Sugar 250g Jar,EGP 105.00
Hero Citrus Honey - 365 Gm,EGP 53.95
Calnort Asparagus Cream Soup 66gm,EGP 9.00
California Gardens Fava Beans Peeled With Egyptian Recipe - 400gm - 2Pcs,EGP 19.95
Hero Spring Blossom Honey - 225g,EGP 41.60
Hero Peanut Butter Spread - 300 Gm,EGP 54.00
Velveta Stain Remover – 700ml,EGP 43.85
Hero Light Strawberry Jam - 320g,EGP 31.95
"Home Freshener, Multi Purpose, Blue, 250ml, CN50, Pink Sugar",EGP 17.00
Chefy Mix Cream Of Chicken Soup - 100g,EGP 14.50
"Home Freshener, Multi Purpose, Blue, 250ml, CN50, Oud",EGP 17.00
Kit Kat 4 Finger Chocolate Bars - 24 Pcs,EGP 260.00
Maggi Shawerma Mix Cubes- 6 Pcs,EGP 39.25
Verde Sweet Verde Oat Chocolate,EGP 48.00
Calnort Shrimp Stock - 60 Cubes,EGP 40.00
Mr. Food Couscous - 700 G,EGP 39.95
Fitness Toasties With Olive And Oregani - 14 Pcs x 36 gm,EGP 79.50
Aldoha Egyptian Fava Beans  - 500g,EGP 38.00
Smart Air Oud Air Freshener Spray - 460 Ml,EGP 32.00
"Vanish Vanish Laundry Stain Remover Oxi Action Powder For Colours & Whites, 250gm - Pack of 2 @20% Off",EGP 98.00
The PACK Paper Cups Tea & Coffee Disposable Cups - 8Oz - 50 Pcs,EGP 60.00
Sofra Stainless Steel Scourer – 6 PCs,EGP 47.00
Smart Air Pink Sugar Air Freshener Spray - 460 Ml,EGP 26.00
Juhayna Juhayna Orange & Carrot Pure Juice – 235ml,EGP 6.75
Maraaq Clover Blossom Honey - 100% Natural Bee Honey 950 Gm,EGP 84.00
Vitrac Almond Syrup 650 ML,EGP 39.29
Durra Pizza Sauce - 365g,EGP 18.92
Juhayna Juhayna Guava Pure Juice – 235ml,EGP 9.25
Wadi Food Virgin Olive Oil - 250 ML,EGP 71.00
Rabea Rabea Natural Green Tea - 100 Bags,EGP 59.50
Nestle Sweetened Condensed Milk - 397g,EGP 44.95
Hero Crunchy Peanut Butter - 300g,EGP 67.60
Regina Pasta Fiacchi - 400g,EGP 12.90
Fema Powdered Dish Detergent – Apple Scent – 1 Kg,EGP 20.25
Al Attar Aniseed-  20 Bags,EGP 23.00
shana Mefattaqa With Sesame - 470 GM,EGP 26.97
Glassy Glass & Window Cleaner Squeezy  Spray - 475ml,EGP 19.45
Super Absorbent Kitchen Towel - 24 Pcs,EGP 59.00
Nesquik Cocoa Powder - 154gm,EGP 25.50
"Home Freshener, Multi Purpose, Blue, 1000ml, CN50, Pink Sugar",EGP 34.00
Hero Jam With Black Cherry Flavor - 350 Gm,EGP 40.00
Rawaby Ghee - 700gm,EGP 38.45
Daria White Basmati Rice -1 Kg,EGP 47.00
Halwani Brothers Halwani Brothers Strawberry Jam - 750g,EGP 34.50
Chefy Mix Chicken Bouillon - 150g,EGP 14.50
Divatoll Concentrated Disinfectant Liquid Cleaner – Pine Scent – 250ml,EGP 25.00
Noor SunFlower Oil - 1.8Liter,EGP 92.00
Dettol 3X Antibacterial Power Floor Cleaner - Jasmine - 1.3 L – 2 PCs Discount,EGP 142.00
Feba Liquid Dish Cleaner With Lime Scent - 730gm,EGP 21.45
Glassy Glass Cleaner with Cleaning Cloth - 600 ml - 2 Pieces,EGP 33.75
Latio - Sunflower Oil - 700ml,EGP 33.48
YARU Dried Coriander Green Jar 25G,EGP 21.00
Sanita Aluminum Foil Silver/Blue - 5 Meters,EGP 22.50
shana Honey Citrus Flowers - 950 GM,EGP 93.00
Hero Citrus Honey - 225g,EGP 41.60
Wipex Heavy Duty Stainless Steel Spirals – 2 PCs,EGP 11.00
Hero Jam With Apricot Flavor- Light - 320 Gm,EGP 33.00
Al Attar Matcha ( Japanese Green Tea ) -  20 Bags,EGP 99.00
TMI LR44 Button  Alkaline Battery - 1.55V -10 Pcs,EGP 14.00
Shaheen Coffee One One Classic Roasted Coffee – 5gm - 10 PCS,EGP 45.00
Printed Cotton Kitchen Towels - 5 Pcs,EGP 42.98
"Avanti 100% Pure Butter Ghee , 700 Gm Net Weight",EGP 144.00
"Home Freshener, Multi Purpose, Silver, 250ml, CN30, Pink Sugar",EGP 12.00
Maxell Magic Kitchen Cleaner - 700ml,EGP 48.75
Basak Broccoli Cream Soup - 60gm,EGP 10.00
Smart Air Black Ice Air Freshener Spray - 460 Ml,EGP 32.00
Finish Classic Dish Cleaning Powder - 2 KG,EGP 153.00
Masreya Pasta Snails - 350g,EGP 7.90
Maraaq Clover Blossom Honey - 100% Natural Bee Honey 450 Gm,EGP 46.00
Frida Floor 3*1 Lemon Scent - 4 Litres,EGP 61.27
The PACK Paper Tea & Coffee Cups - 7OZ - 50 Pcs,EGP 55.00
Nature Mix Granola Almonds and Extra Honey,EGP 56.00
Aldoha Cumin Powder - 100g,EGP 25.60
Verde Sweet Verde Oat Cinnamon,EGP 48.00
Hero Jam With Fig Flavor - 350 Gm,EGP 31.70
Al Tawoos Apple Vinegar - Rose Water - Blossom Water - Bundle 3 Bottles 250 Ml,EGP 40.00
Lindt Lindt Excellence Orange Intense Chocolate - 100gm,EGP 58.45
Durra Mayonnaise - 380g,EGP 40.58
Chefy Mix Mexican Rice Mix - 150g,EGP 14.50
Calnort Beef Flavor Stock - 250gm,EGP 30.00
Sante Go On Protein Bar With Peanut & Chocolate - 50 gm,EGP 24.95
California Gardens Fava Beans Peeled With Lebanese Recipe - 400gm - 2Pcs,EGP 19.95
Latio Corn Oil - 900ml,EGP 46.50
Kit Kat Chunky Mini Chocolate Bag - 250gm,EGP 81.00
Maxell Magic Crystal Liquid Window Cleaner - Rose Scent - 700ml,EGP 39.05
Ludwik Bathroom Cleaner - 750 Ml,EGP 47.00
Roots Pepper Mint - 20 Envelopes,EGP 14.00
Velveta Fabric Softener & Freshener Gel -Freshness Scent - 1 L,EGP 50.85
Latio Corn Oil - 700ml,EGP 40.50
Aldoha Black Pepper Powder - 230g,EGP 103.80
Hayat Cooking and Frying Oil - 970ml,EGP 39.00
Roots Hibiscus - 50 Envelopes,EGP 25.00
Teeka Eclair - 500gm,EGP 32.00
Maxell Magic Floor Cleaner - Crawling Insects Repellent - 1Liter,EGP 33.75
YARU Onion Powder Jar 70 G,EGP 23.00
"Home Freshener, Multi Purpose, Blue, 250ml, CN50, Blueberry",EGP 14.00
Sante Classic Crunchy Cereal - 350gm,EGP 44.00
Dettol Antiseptic Liquid Cleaner - 235 ML,EGP 45.00
"Home Freshener, Multi Purpose, Silver, 250ml, CN30, Jasmine",EGP 12.00
Roots Regime Tea - 30 Envelopes,EGP 18.00
Aldoha Cooking Hummus - 50g,EGP 7.00
STEVIA Castello Diet Sugar Box - 60 Sachets,EGP 80.00
Dettol Healthy Bathroom Power Cleaner Trigger Spray - 500ml,EGP 60.00
Maxell Magic Toilet Cleaner  - 700ml,EGP 48.75
"Vanish Vanish Laundry Stain Remover Oxi Action Powder For Colours & Whites, 250gm",EGP 44.00
Roots Lemon With Ginger - 20 Envelopes,EGP 14.00
shana Celery & Parsley Tea - 75 GM.,EGP 33.00
"Home Freshener, Multi Purpose, Silver, 250ml, CN30, Oud",EGP 12.00
shana Black Pepper - 100 GM,EGP 27.00
"Khoshala 100% Pure Butter Ghee , 1600 Gm Net Weight",EGP 315.00
Durra Mustard - 290g,EGP 16.87
White Chef Pro Kitchen Towels - 3 Ply - 2 Rolls,EGP 31.95
Shaheen Coffee Green Coffee – 10gm - 10 PCs,EGP 61.75
Al Attar Ginger & Cinnamon -  20 Bags,EGP 25.00
Finish Powerball All in 1 Dishwashing Tablets - 13 Pcs - 2 Pack,EGP 158.00
Cadbury Hazelnut Chocolate - 90gm,EGP 29.40
Juhayna Juhayna Pineapple Pure Juice – 235ml,EGP 6.75
shana Peppermint Raw Oil - 30 ML.,EGP 31.00
Scotch Bright Multi-Purpose Gloves -Vanilla scented – Small,EGP 52.00
Velveta Fabric Softener – Velvet Baby soft – 3L,EGP 109.45
Clorel 2x1 Floral Scented Bleach - 4kg,EGP 43.25
Raw Kettle Cooked Potatoes - Cheddar Cheese & Shallots - 12 PCs - 49-54g,EGP 72.00
Amira White Vegetable Ghee - 2.5Kg,EGP 116.00
"Finish Finish Classic Powerball Dishwasher Tablets, 13 Tabs",EGP 71.00
Velveta Automatic Oxi Laundry Detergent Gel – 1.5 L,EGP 80.25
Aldoha Curry Mix - 220g,EGP 31.00
Bravo Potato Chips - Cheese Herbs - 12 PCs - 60-70g,EGP 66.75
Lychee Lychee Peanut Butter 200 g (Original),EGP 33.95
Calnort Chicken Stock - 8*80g Cubes,EGP 11.04
Harraz Oat Flakes - 500g,EGP 24.00
"Happy Valley Raw Manuka Honey New Zealand UMF20+, MGO829+, 250 G (8.8oz)","EGP 2,150.00"
Clorel Regular Liquid Bleach - 500gm,EGP 7.75
Calnort Beef Flavor Stock - 60 Cubes,EGP 34.00
YARU Rosemary Powder Jar 50g,EGP 25.00
Wadi Food Fava Beans - 700 gm,EGP 16.00
YARU Dried Rosemary Leaves Jar 25 G,EGP 21.00
Lindt Lindt Swiss Classic Milk Chocolate - 100gm,EGP 69.95
Sante Gold Granola With Chocolate & Orange - 300 gm,EGP 64.00
Haloub Al Missalia Pure Ghee - 2kg,EGP 395.00
Aldoha Mixed Spices - 220g,EGP 84.00
Halwani Brothers Halwani Brothers Orange Light Jam - 380g,EGP 21.95
Maxell Magic Spray Stainless Steel Cleaner - 700ml,EGP 56.25
Aldoha Anise  - 100g,EGP 21.50
Halwani Brothers Halwani Brothers Fig Jam - 750g,EGP 30.95
Maxell Magic Crystal Liquid Window Cleaner - Ocean Mist Scent  - 700ml,EGP 26.95
White Color & Shape Metal Dispenser may be change - 325 Sheet,EGP 92.87
Clorel 2x1 Lavender Scented Bleach - 1050 Gm + Original Bleach - 1050 Gm + Color Care Wash - 0.5 Kg,EGP 35.45
Nabtah Chia Seeds - 200 Gm,EGP 60.00
Nature Mix Granola Super Seeds,EGP 58.00
Nature Mix Muesli Seeds And Almonds,EGP 48.00
Clorel 2x1 Lemon Scented Bleach - 2kg,EGP 24.25
Sanita Club Kitchen Tissue - 100 Sheets -  6 Pieces,EGP 42.10
Regina Pasta Pipe - 400g,EGP 12.90
Basak Star Noodle Vegetables Soup - 70gm,EGP 10.80
"Excellent 100% Pure Butter Ghee , 1800 Gm Net Weight",EGP 325.00
Silicon Toilet Brush - 1 PC,EGP 47.95
Maxell Magic All Purpose Cleaners Oxygen Power - 700ml,EGP 48.75
Nestle Sweetened Condensed Milk  - 450gm,EGP 70.10
Maxell Magic Crystal Spray Window Cleaner - Herbal Scent - 700ml,EGP 39.05
Wipex Heavy Duty Scrub Sponge & Nail Saver – 1 PC,EGP 7.00
Cadbury Dairy Milk Oreo Chocolate Bar - 38gm -12 Packs,EGP 129.00
Mr. Food Ketchap - 400g,EGP 18.50
Chefy Mix Mayonnaise Rich 35% - 3.300 Kg,EGP 113.00
Basak Sweet Corn Chicken Soup - 46gm,EGP 10.80
Wadi Food Sundried Tomatoes - 200 gm,EGP 62.70
shana Almond  Nuts - 200 GM,EGP 67.00
Maxell Magic Toilet Cleaner Oxygen Power - 500ml,EGP 36.95
Al Attar Lemon Verbena -  20 Bags,EGP 28.00
Al Attar Green Tea With Mint - 20 Bags,EGP 25.00
Clorets Green Lemon Mint Flavored Chewing Gum - 10 Pcs - 12 Packs,EGP 69.75
Teeka Chocolate Egg - For Girls - Pack Of 24pcs,EGP 105.00
Fema Powdered Dish Detergent – 500gm,EGP 12.65
CHOCAPIC Bear Cereal - 345gm,EGP 42.95
Dettol Multi Action Cleaner – Pine – 650 ml,EGP 40.00
Maxell Magic Crystal Liquid Window Cleaner - Herbal Scent - 700ml,EGP 26.95
Sweet Factory Original Gourmet Lollipop – 31gm,EGP 7.00
Hero Jam With Blueberry Flavor - 350 Gm,EGP 53.00
Al Tawoos Tehini - 18 Sachets - 26 Gram / Sachet,EGP 35.00
White Extra Soft Facial Tissues - 550 Tissues – 3 Layers,EGP 29.47
Maraaq Orange Blossom Honey - 100% Natural Bee Honey 950 Gm,EGP 88.35
Morspice Falafel Chili 250 Gm,EGP 30.00
shana Honey Black Seed Flowers - 450 GM,EGP 50.22
Al Tawoos Natural Vinegar - 0.5 Liter,EGP 5.75
Cadbury Dairy Milk Caramello Chocolate Bar - 40gm -12 Packs,EGP 126.00
"Home Freshener, Multi Purpose, Blue, 1000ml, CN50, Charisma",EGP 37.00
M&Ms M&M Peanut Chocolate Bag - 165gm,EGP 56.75
Calnort Mushroom Cream Soup - 66gm,EGP 13.30
Roots Green Tea - 50 Envelopes,EGP 23.00
Cif Multi-Purpose Cleaning Cream With Micro Particles - Lemon Scent - 750ml,EGP 50.00
Daria Dark Soy Sauce – 250M,EGP 33.00
Dilmah Green Tea - 20 TB,EGP 39.00
Hero Jam With Apricot Flavor - 350 Gm,EGP 30.00
SPEED Grooved Sponges – 5 PCs,EGP 32.00
Maxell Magic Spray Aluminum & Glass Cleaner - 700ml,EGP 38.95
Halwani Brothers Halwani Brothers Halawa With Chocolate - 275g,EGP 28.75
shana Harissa Chilli - 170 GM.,EGP 23.00
Clorel 2x1 Floral Scented Bleach - 2kg,EGP 24.25
Battery 18650 3.7V Rechargeable Li-ion,EGP 33.00
Espresso Capsules Cuore Of Virginia Compatible With Nespresso Machines - 10 Pcs,EGP 110.00
Velveta Concentrated Stain Remover – 1 Kg,EGP 49.55
SteriMax Antiseptic Soap -200ML,EGP 15.00
Cerelac Quinoa Strawberry & Passion Fruit - 250gm,EGP 58.95
Dettol Antiseptic Liquid Cleaner - 475ML,EGP 80.00
Dettol Multi Action Cleaner - Aqua – 650 ml,EGP 40.00
The PACK Paper Cups For Coffee And Espresso - 4Oz - 20 Pcs,EGP 50.00
Clorel 4x1 Lavender Scented Cleaning Bleach - 2kg,EGP 24.45
Dettol Multi Action Cleaner – Pine - 1.3L,EGP 56.95
Velveta Automatic Oxi Laundry Detergent Gel – 500ml,EGP 30.45
Sanitary Napkin Case =- 3 Pieces,EGP 35.99
Durra Tomato Ketchup - 750g,EGP 38.08
Shaheen Coffee Creama Espresso Coffee - 200G,EGP 96.75
"Home Freshener, Multi Purpose, Blue, 1000ml, CN50, Rumba",EGP 35.00
Sofra Stainless Steel Scourer – 4 PCs,EGP 33.00
Mr. Food Brown Sugar 500 Gm,EGP 30.75
Hero Jam With Pineapple Flavor - 350g,EGP 38.95
"Home Freshener, Multi Purpose, Silver, 250ml, CN30, Black Ice",EGP 12.00
Velveta Fabric Softener – Romance Scent – 3L,EGP 109.45
Choice Choice Balsamic Vinegar – 250gm,EGP 22.95
Clorel 2x1 Lemon Scented Bleach - 4kg,EGP 43.25
Galaxy Smooth Milk Chocolate – 56 Gm – 12 Pcs,EGP 190.00
Juhayna Juhayna Orange Pure Juice – 1 L,EGP 25.50
Kalfany Strawberry Candies - 150g,EGP 34.25
Magnetic Double-Sided Glass Window Cleaner,EGP 60.00
Noor SunFlower Oil - 2.7Liter,EGP 136.00
YARU Dried Slices Onion Jar 50G,EGP 21.00
shana Cumin Powder - 90 GM,EGP 20.00
Sante Granola With Pomegranate & Cranberry - 500 gm,EGP 90.00
Bravo Potato Chips - Salt - 12 PCs - 60-70g,EGP 66.75
Dettol 3X Antibacterial Power Floor Cleaner – Aqua – 1.3L + 650ml,EGP 115.67
Masreya Pasta Big Rings - 350g,EGP 9.60
Fitness Toasties With Cumin & Lemon - 14 Pcs x 36 gm,EGP 79.50
Mr. Food Black Eyed Beans - 500g,EGP 19.95
White Chef Pro Kitchen Towels - 3 Ply - 4 Rolls,EGP 56.71
Wadi Food Black Olives Paste & Chili Jar -  300gm,EGP 26.00
Cadbury Dairy Milk Bubbly Oreo Chocolate Bar - 43gm -12 Packs,EGP 107.00
Cocoa Lovers Soft Melts Vanilla Striped Bar Promo - 12 Pcs,EGP 70.00
Wipex Heavy Duty Stainless Steel Spirals – 3 PCs,EGP 14.00
Scotch Bright Heavy Duty Outdoor Gloves- lemon scented  – Small,EGP 51.00
Sofra Roasted Bags – Jumbo – 3 PCs,EGP 20.00
Wadi Food Extra Virgin Olive Oil - 1 Liter,EGP 238.98
Clorel 4x1 Lavender Scented Cleaning Bleach - 1kg,EGP 14.25
Magic Moments Blueberry Flavored Syrup – 675gm,EGP 37.00
"Khoshala 100% Pure Butter Ghee  , 800 Gm Net Weight",EGP 165.00
YARU Dried  Peppermint Jar  0.25 G,EGP 19.00
Clorel 2x1 Lavender Scented Bleach - 1kg,EGP 13.25
Nestle Optifast Milk Shake Powder – Vanilla – 12 PCS x53g,EGP 548.00
Fitness Toasties with Honey Mustard - 14 Pcs x 36 gm,EGP 79.50
Chefy Mix Thomeya  - 3.300 Kg,EGP 134.00
Halwani Brothers Halwani Brothers Plain Halawa - 575g,EGP 70.00
"Finish Finish Dishwasher Detergent Tablets, Quantum 12 tablets @40% Off",EGP 151.00
Scotch Bright Heavy Duty Comfort Nail Saver Sponge – 1 PC,EGP 10.00
shana Honey Nawara Clover - 240 GM,EGP 27.90
White Host Hand Towel - 150 Sheets – 2 Layers,EGP 18.34
shana Fig & Olive - 400 GM,EGP 50.22
"Home Freshener, Multi Purpose, Blue, 1000ml, CN50, Cassilia",EGP 34.00
"Excellent 100% Pure Butter Ghee , 800 Gm Net Weight",EGP 165.00
Smart Air Blueberry Air Freshener Spray - 460 Ml,EGP 26.00
"Happy Valley Raw Manuka Honey New Zealand UMF5+, MGO83+, 250 G (8.8oz)",EGP 575.00
Vitrac Tamarind Syrup - 650ml,EGP 35.10
